date,inv.,year,month,day,quantity,flemish_pounds,groten,total_price,price_per_pound
1725-11-12,13377.0,1725.0,11.0,12.0,1649.0,296.0,13.0,296.65,0.17989690721649484
1726-08-28,13377.0,1726.0,8.0,28.0,1254.0,250.0,9.0,250.45,0.19971882192012547
1727-10-27,13377.0,1727.0,10.0,27.0,16724.41176470588,2510.264705882353,10.411764705882353,2510.7852941176475,0.1767206256906297
1728-04-19,13377.0,1728.0,4.0,19.0,552.0,58.0,3.0,58.15,0.10534420289855072
1731-11-12,13377.0,1731.0,11.0,12.0,21100.115384615383,3356.903846153846,8.25,3357.316346153847,0.1595888050786321
1732-11-17,13377.0,1732.0,11.0,17.0,11821.890625,1684.0625,9.21875,1684.5234374999993,0.14264455089657413
1733-11-16,13377.0,1733.0,11.0,16.0,19609.755102040817,2545.183673469388,10.83673469387755,2545.7255102040813,0.1299478995541002
1734-04-27,13377.0,1734.0,4.0,27.0,289.0,23.0,17.0,23.85,0.08252595155709343
1734-11-15,13377.0,1734.0,11.0,15.0,30194.0625,3780.40625,10.59375,3780.9359375000004,0.1248493298645601
1735-10-31,13377.0,1735.0,10.0,31.0,23563.644444444446,2376.822222222222,10.422222222222222,2377.3433333333337,0.10206690887055024
1737-04-29,13377.0,1737.0,4.0,29.0,1571.2,93.4,9.2,93.86,0.060759463027764124
1739-11-01,13377.0,1739.0,11.0,1.0,54174.26666666667,4209.666666666667,9.633333333333333,4210.148333333333,0.07764527761020172
1740-11-21,13377.0,1740.0,11.0,21.0,14753.368421052632,1262.421052631579,9.81578947368421,1262.9118421052633,0.0856953123176938
1741-11-20,13377.0,1741.0,11.0,20.0,24501.677419354837,1537.0645161290322,9.096774193548388,1537.5193548387101,0.06317554163792571
1742-11-26,13377.0,1742.0,11.0,26.0,18748.48888888889,1315.2666666666667,9.022222222222222,1315.717777777778,0.07038485048805225
1743-11-21,13377.0,1743.0,11.0,21.0,15934.772727272728,1123.0454545454545,12.409090909090908,1123.665909090909,0.07064269247603977
1744-03-30,13377.0,1744.0,3.0,30.0,15242.5625,1038.9375,10.0,1039.4375,0.0683791591634453
1744-11-02,13377.0,1744.0,11.0,2.0,24970.5641025641,1875.5641025641025,9.64102564102564,1876.0461538461539,0.07528991318751992
1745-11-15,13377.0,1745.0,11.0,15.0,15886.518518518518,1905.851851851852,9.592592592592593,1906.331481481482,0.1184550245123184
1746-10-31,13377.0,1746.0,10.0,31.0,11656.333333333334,1544.3333333333333,10.966666666666667,1544.8816666666671,0.13322235188734247
1747-10-09,13377.0,1747.0,10.0,9.0,16241.954545454546,1703.090909090909,6.454545454545454,1703.4136363636367,0.10633796216363224
1747-11-27,13377.0,1747.0,11.0,27.0,9134.6,1094.5,12.7,1095.135,0.12122832990549696
1755-11-10,13377.0,1755.0,11.0,10.0,18903.608695652172,1576.6521739130435,8.782608695652174,1577.0913043478263,0.08396709872604162
1756-11-15,13377.0,1756.0,11.0,15.0,19000.02857142857,1571.0,11.485714285714286,1571.574285714286,0.0830145606354209
1757-11-28,13377.0,1757.0,11.0,28.0,32963.666666666664,2599.809523809524,9.761904761904763,2600.2976190476193,0.16659400759067353
1758-11-27,13377.0,1758.0,11.0,27.0,34635.48148148148,2739.6296296296296,10.222222222222221,2740.140740740741,0.07940612247139159
1759-11-19,13377.0,1759.0,11.0,19.0,39519.555555555555,3069.777777777778,9.592592592592593,3070.2574074074078,0.10249664481462818
1760-11-17,13377.0,1760.0,11.0,17.0,35012.71428571428,2440.3928571428573,11.214285714285714,2440.9535714285716,0.06967421175973461
1761-11-09,13377.0,1761.0,11.0,9.0,33497.242424242424,2280.3636363636365,9.454545454545455,2280.8363636363647,0.06744593677197218
1762-11-22,13377.0,1762.0,11.0,22.0,24016.94871794872,1796.4615384615386,10.846153846153847,1797.0038461538456,0.07553320967401642
1763-12-08,13377.0,1763.0,12.0,8.0,31957.347826086956,2549.3478260869565,11.304347826086957,2549.9130434782605,0.08062803718767228
1764-11-19,13377.0,1764.0,11.0,19.0,25059.925925925927,2275.703703703704,11.925925925925926,2276.2999999999997,0.08276001804446337
1765-11-11,13377.0,1765.0,11.0,11.0,29263.612903225807,2168.0967741935483,11.935483870967742,2168.693548387097,0.07195612568925618
1766-11-03,13377.0,1766.0,11.0,3.0,34767.666666666664,2402.6296296296296,10.666666666666666,2403.162962962963,0.06905198734081937
1772-11-09,13377.0,1772.0,11.0,9.0,34973.5,3123.625,10.333333333333334,3124.1416666666664,0.08799998540577764
1773-11-22,13377.0,1773.0,11.0,22.0,48603.94117647059,3778.470588235294,8.352941176470589,3778.8882352941177,0.0785813126864691
1774-11-28,13377.0,1774.0,11.0,28.0,62571.0,4108.2,10.8,4108.740000000001,0.06450926301322316
1775-10-23,13377.0,1775.0,10.0,23.0,54719.32,3012.6,9.6,3013.08,0.0547647731598292
1776-11-25,13377.0,1776.0,11.0,25.0,64750.13636363636,3980.409090909091,9.045454545454545,3980.861363636362,0.05944013826332519
